ip,port,timestamp,status,fingerprint,weight
45.122.220.39,443,2026-06-04T16:53:08.960137,fingerprint_done,"{""vendor"":""panasonic"",""model"":""wv-js"",""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""panasonic"",""source"":""html"",""pattern"":""WV-"",""cves"":[]},{""field"":""model"",""value"":""wv-js"",""source"":""html"",""pattern"":""WV-\\w+"",""cves"":[]}],""cves"":[]}",0.8
113.22.88.215,80,2026-06-04T16:53:15.614694,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
27.64.12.90,80,2026-06-04T16:53:25.649379,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
116.101.130.29,80,2026-06-04T16:53:39.024332,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""webplugin"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""rpcCore"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
14.224.208.152,80,2026-06-04T16:53:39.035861,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
14.245.199.226,80,2026-06-04T16:53:41.987743,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
117.0.38.186,80,2026-06-04T16:53:51.236754,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
14.224.203.73,80,2026-06-04T16:54:07.500897,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
113.190.232.42,443,2026-06-04T16:54:25.640391,fingerprint_done,"{""vendor"":""panasonic"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""panasonic"",""source"":""html"",""pattern"":""Panasonic"",""cves"":[]},{""field"":""vendor"",""value"":""panasonic"",""source"":""html"",""pattern"":""panasonic"",""cves"":[]}],""cves"":[]}",0.8
113.188.115.73,80,2026-06-04T16:54:29.895122,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""webplugin"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""rpcCore"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
123.22.47.157,80,2026-06-04T16:54:34.060402,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""webplugin"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""rpcCore"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
115.72.191.171,80,2026-06-04T16:54:36.977587,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
